threshold,fpr,tpr
5.08526611,0.00000000,0.43916667
5.08482885,0.00000000,0.44000000
5.08102703,0.00000000,0.44083333
5.08099318,0.00000000,0.44166667
5.07891083,0.00000000,0.44250000
5.07858515,0.00000000,0.44333333
5.07729292,0.00000000,0.44416667
5.06717014,0.00000000,0.44500000
5.05663824,0.00000000,0.44583333
5.05653715,0.00000000,0.44666667
5.05352831,0.00000000,0.44750000
5.04217577,0.00000000,0.44833333
5.03590727,0.00000000,0.44916667
5.02979612,0.00000000,0.45000000
5.00657749,0.00000000,0.45083333
4.98695755,0.00000000,0.45166667
4.93374348,0.00000000,0.45250000
4.92677593,0.00000000,0.45333333
4.91985750,0.00000000,0.45416667
4.91956854,0.00000000,0.45500000
4.91001797,0.00000000,0.45583333
4.90969706,0.00000000,0.45666667
4.90670776,0.00000000,0.45750000
4.90256882,0.00000000,0.45833333
4.89200258,0.00000000,0.45916667
4.88936710,0.00000000,0.46000000
4.88459921,0.00000000,0.46083333
4.88340044,0.00000000,0.46166667
4.88161612,0.00000000,0.46250000
4.87915897,0.00000000,0.46333333
4.87543917,0.00000000,0.46416667
4.87402391,0.00000000,0.46500000
4.86659575,0.00000000,0.46583333
4.86654902,0.00000000,0.46666667
4.86614609,0.00000000,0.46750000
4.86557055,0.00000000,0.46833333
4.86081314,0.00000000,0.46916667
4.86024761,0.00000000,0.47000000
4.85744810,0.00000000,0.47083333
4.84599352,0.00000000,0.47166667
4.84450865,0.00000000,0.47250000
4.84022427,0.00000000,0.47333333
4.83008957,0.00000000,0.47416667
4.82815027,0.00000000,0.47500000
4.82035160,0.00000000,0.47583333
4.81844997,0.00000000,0.47666667
4.81792068,0.00000000,0.47750000
4.81631994,0.00000000,0.47833333
4.81464481,0.00000000,0.47916667
4.80146456,0.00000000,0.48000000
4.79626226,0.00000000,0.48083333
4.79373169,0.00000000,0.48166667
4.79177856,0.00000000,0.48250000
4.79103184,0.00000000,0.48333333
4.78832912,0.00000000,0.48416667
4.78276491,0.00000000,0.48500000
4.78122950,0.00000000,0.48583333
4.77879477,0.00000000,0.48666667
4.77846766,0.00000000,0.48750000
4.77727032,0.00000000,0.48833333
4.77379131,0.00000000,0.48916667
4.77055216,0.00000000,0.49000000
4.76110554,0.00000000,0.49083333
4.75325537,0.00000000,0.49166667
4.75146770,0.00000000,0.49250000
4.74415112,0.00000000,0.49333333
4.74199247,0.00000000,0.49416667
4.73256826,0.00000000,0.49500000
4.72748613,0.00000000,0.49583333
4.72634125,0.00000000,0.49666667
4.72488737,0.00000000,0.49750000
4.72477293,0.00000000,0.49833333
4.72452068,0.00000000,0.49916667
4.72354078,0.00000000,0.50000000
4.72331476,0.00000000,0.50083333
4.72286606,0.00000000,0.50166667
4.72155285,0.00000000,0.50250000
4.71745777,0.00000000,0.50333333
4.71742487,0.00000000,0.50416667
4.71380615,0.00000000,0.50500000
4.71196651,0.00000000,0.50583333
4.70563650,0.00000000,0.50666667
4.70528889,0.00000000,0.50750000
4.69927502,0.00000000,0.50833333
4.69684601,0.00000000,0.50916667
4.69414139,0.00000000,0.51000000
4.69002008,0.00000000,0.51083333
4.68870401,0.00000000,0.51166667
4.68326712,0.00000000,0.51250000
4.68177652,0.00000000,0.51333333
4.67833424,0.00000000,0.51416667
4.66964245,0.00000000,0.51500000
4.66396236,0.00000000,0.51583333
4.66068363,0.00000000,0.51666667
4.65849590,0.00000000,0.51750000
4.65833426,0.00000000,0.51833333
4.65744543,0.00000000,0.51916667
4.65245819,0.00000000,0.52000000
4.64516687,0.00000000,0.52083333
4.64079380,0.00000000,0.52166667
4.63755274,0.00000000,0.52250000
4.63744450,0.00000000,0.52333333
4.63256598,0.00000000,0.52416667
4.63032675,0.00000000,0.52500000
4.63022232,0.00000000,0.52583333
4.62859726,0.00000000,0.52666667
4.61531687,0.00000000,0.52750000
4.61097717,0.00000000,0.52833333
